Name,Cusip
ADBE,00724F101
ADSK,052769106
AI,12468P104
ALKT,01644J108
ALRM,011642105
AMPL,03213A104
APPF,03783C100
ASAN,04342Y104
BASE,22207T101
BIGC,08975P108
BILL,090043100
BL,09239B109
BLKB,09227Q100
BOX,10316T104
BRZE,10576N102
BSY,08265T208
CFLT,20717M103
CRM,79466L302
CRWD,22788C105
CWAN,185123106
CXM,85208T107
CYBR,M2682V108
DAY,15677J108
DBX,26210C104
DDOG,23804L103
DOCN,25402D102
DOCU,256163106
DOMO,257554105
DT,268150109
ESTC,N14506104
EXFY,30219Q106
FIVN,338307101
FROG,M6191J100
FRSH,358054104
FSLY,31188V100
GTLB,37637K108
HCP,418100103
HUBS,443573100
INFA,45674M101
INST,457790103
IOT,79589L106
JAMF,47074L105
KARO,Y4600W108
KLTR,483467106
KVYO,49845K101
LPSN,538146101
MDB,60937P106
MNDY,M7S64H106
NCNO,63947X101
NET,18915M107
NOW,81762P102
OKTA,679295105
OLO,68134L109
ONTF,68339B104
PATH,90364P105
PAYC,70432V102
PCOR,74275K108
PCTY,70438V106
PD,69553P100
PLTR,69608A108
PYCR,70435P102
QLYS,74758T303
QTWO,74736L109
RBRK,781154109
RNG,76680R206
RPD,753422104
S,81730H109
SEMR,81686C104
SHOP,82509L107
SNOW,833445109
SPT,85209W109
TEAM,049468101
TENB,88025T102
TWLO,90138F102
U,91332U101
VEEV,922475108
WDAY,98138H101
WEAV,94724R108
YEXT,98585N106
ZI,98980F104
ZM,98980L101
ZS,98980G102
OS,68278B107
